package_id,created_at,test_week,clickability_test_id,headline,eyecatcher_id,impressions,clicks,ctr,first_place,winner
0,2014-11-20 06:43:16.005,201446,546d88fb84ad38b2ce000024,They're Being Called 'Walmart's Worst Nightmare.' And I *Really* Hope It Comes True.,546d6fa19ad54eec8d00002d,3052,150,0.0491480996068152,True,True
1,2014-11-20 06:43:44.646,201446,546d88fb84ad38b2ce000024,They're Being Called 'Walmart's Worst Nightmare.' And I *Really* Hope It Comes True.,546d6fa19ad54eec8d00002d,3033,122,0.040224200461589185,False,False
2,2014-11-20 06:44:59.804,201446,546d88fb84ad38b2ce000024,They're Being Called 'Walmart's Worst Nightmare.' And I *Really* Hope It Comes True.,546d6fa19ad54eec8d00002d,3092,110,0.03557567917205692,False,False
3,2014-11-20 06:54:36.335,201446,546d902c26714c6c44000039,This Is What Sexism Against Men Sounds Like,546bc55335992b86c8000043,3526,90,0.025524673851389675,False,False
4,2014-11-20 06:54:57.878,201446,546d902c26714c6c44000039,This Is What Sexism Against Men Sounds Like,546d900426714cd2dd00002e,3506,120,0.034227039361095266,True,False
5,2014-11-20 06:55:07.212,201446,546d902c26714c6c44000039,This Is What Sexism Against Men Sounds Like,546d900426714c6c44000038,3380,98,0.028994082840236687,False,False
6,2014-11-20 06:55:20.347,201446,546d902c26714c6c44000039,This Is What Sexism Against Men Sounds Like,546d900426714c1ad900001e,3465,75,0.021645021645021644,False,False
7,2014-11-20 06:55:43.497,201446,546d902c26714c6c44000039,This Is What Sexism Against Men Sounds Like,546d900484ad38b2ce000027,3431,86,0.025065578548528127,False,False
8,2014-11-20 06:55:57.651,201446,546d902c26714c6c44000039,This Is What Sexism Against Men Sounds Like,546d900484ad385a0a000038,3394,76,0.022392457277548614,False,False
9,2014-11-20 06:56:08.696,201446,546d902c26714c6c44000039,This Is What Sexism Against Men Sounds Like,546d900484ad381bbe00002b,3505,95,0.02710413694721826,False,False
10,2014-11-20 06:56:21.343,201446,546d902c26714c6c44000039,This Is What Sexism Against Men Sounds Like,546d900426714cd2dd00002f,3423,84,0.024539877300613498,False,False
51,2014-11-20 13:23:11.221,201446,546deb3f26714cd2dd00003a,Kim Jong Un Would Really Hate For You To Watch This Which Is Exactly Why You Should,545c477e74bfe7589400000b,3910,142,0.03631713554987212,False,False
62,2014-11-20 14:57:52.478,201446,546e009a9ad54ec65b00004b,What They Learned From The Scientist Was Terrifying. But That's What They Needed To Hear.,546c7f2dbadeb5788700000a,4594,51,0.01110143665650849,False,False
67,2014-11-20 14:00:35.212,201446,546deb3f26714cd2dd00003a,Kim Jong Un Would Really Hate For You To Watch This Which Is Exactly Why You Should,545c4777dbe440958400000b,3872,122,0.031508264462809916,False,False
74,2014-11-20 14:03:11.812,201446,546deb3f26714cd2dd00003a,Kim Jong Un Would Really Hate For You To Watch This Which Is Exactly Why You Should,546df0e926714cd2dd00003d,3794,67,0.017659462308908802,False,False
76,2014-11-20 14:03:30.359,201446,546deb3f26714cd2dd00003a,Kim Jong Un Would Really Hate For You To Watch This Which Is Exactly Why You Should,546df37e9ad54eec8d00004f,3888,136,0.03497942386831276,False,False
77,2014-11-20 14:10:37.327,201446,546deb3f26714cd2dd00003a,Kim Jong Un Would Really Hate For You To Watch This Which Is Exactly Why You Should,546df39a84ad380b59000037,3841,150,0.03905233012236397,True,False
78,2014-11-20 14:14:58.801,201446,546deb3f26714cd2dd00003a,Kim Jong Un Would Really Hate For You To Watch This Which Is Exactly Why You Should,546df69784ad385a0a000049,3883,98,0.02523821787277878,False,False
