package_id,created_at,test_week,clickability_test_id,headline,eyecatcher_id,impressions,clicks,ctr,first_place,winner
62,2014-11-20 14:57:52.478,201446,546e009a9ad54ec65b00004b,What They Learned From The Scientist Was Terrifying. But That's What They Needed To Hear.,546c7f2dbadeb5788700000a,4594,51,0.01110143665650849,False,False
84,2014-11-20 14:54:18.78,201446,546e009a9ad54ec65b00004b,A Science Guy Helps 3 Dudes From America Understand What They're Really Up Against,546c7f2dbadeb5788700000a,4571,58,0.012688689564646685,False,False
95,2014-11-20 15:04:49.517,201446,546e009a9ad54ec65b00004b,He Sat Them Down And Told Them About An Imminent Death — Which Is Why They Came To Australia,546c7f2dbadeb5788700000a,4601,27,0.005868289502282112,False,False
100,2014-11-20 15:13:36.266,201446,546e009a9ad54ec65b00004b,"The 3 Of Them Needed To See It In Person, And The Fact That It Was Beautiful Made It Even Worse",546c7f2dbadeb5788700000a,4567,63,0.013794613531858988,True,False
102,2014-11-20 15:15:25.697,201446,546e009a9ad54ec65b00004b,"They May Not Be The Most Handsome Dudes, But They're Passionate. And They Have A Mission.",546c7f2dbadeb5788700000a,4524,44,0.009725906277630416,False,False
103,2014-11-20 15:22:07.561,201446,546cb9c954524053ac000013,"The Selfies Were Already Bad Enough, But Then There Was Everything Else. This Woman May Have Issues.",546c7f42badeb54dd0000005,4527,189,0.041749502982107355,True,False
104,2014-11-20 15:44:52.233,201446,546cb9c954524053ac000013,Warning: Beware Of Her Selfies And Stereotypes. She's Doing Pretty Much Everything Wrong.,546c7f42badeb54dd0000005,4600,154,0.033478260869565214,False,False
105,2014-11-20 15:45:15.951,201446,546cb9c954524053ac000013,"Sigh... I Wanted To Like This Woman, But The Selfies Were Too Much. Also, Everything Else About Her.",546c7f42badeb54dd0000005,4603,162,0.035194438409732784,False,False
140,2014-11-20 19:47:22.141,201446,546e454a9ad54e2af0000070,A Couple That Loves To Travel Together Came Up With A Genius Idea.,546a84cc5b606a1fa0000022,3017,35,0.01160092807424594,False,False
157,2015-02-05 08:37:40.316,201505,54d1967c63666200191c0000,My Mom Forced Me To Study When I Was A Kid. These Parents Don't Want Kids To Take This Test At All.,54d1d11364666100261c0000,2188,14,0.006398537477148081,False,False
167,2014-11-20 18:21:02.939,201446,546e2ce926714c856600004f,"Colbert Asked Eva Longoria If She Produced A Tomato, But What She Really Produced Is So Much Better",546e302d26714cd2dd00005b,3612,50,0.013842746400885935,True,False
168,2014-11-20 18:21:46.162,201446,546e2ce926714c856600004f,"Without Our 'Food Chains', We'd All Be In 'The Hunger Games'",546e302d26714cd2dd00005b,3529,15,0.004250495891187305,False,False
169,2014-11-20 18:26:37.742,201446,546e2ce926714c856600004f,"From Wisteria Lane To The Farm, Actress Eva Longoria Has It Together",546e302d26714cd2dd00005b,3573,16,0.004478029666946544,False,False
170,2014-11-20 18:27:35.087,201446,546e2ce926714c856600004f,"In This World 40,000 Pounds Is Worth Only $400. Holy Crap, That's Not Good.",546e302d26714cd2dd00005b,3616,25,0.006913716814159292,False,False
179,2014-11-20 18:37:56.353,201446,546e2ce926714c856600004f,What Are Walmart And Whole Foods Doing That Wendy's Isn't?,546e302d26714cd2dd00005b,3485,30,0.00860832137733142,False,False
226,2014-11-20 19:53:24.931,201446,546e454a9ad54e2af0000070,A Couple That Loves To Travel Together Came Up With A Genius Idea,546e47149ad54e667a000084,3077,40,0.012999675008124796,False,False
227,2014-11-20 19:53:55.687,201446,546e454a9ad54e2af0000070,A Couple That Loves To Travel Together Came Up With A Genius Idea,546e46ce26714c8566000062,3059,49,0.016018306636155607,False,False
228,2014-11-20 19:54:35.088,201446,546e454a9ad54e2af0000070,A Couple That Loves To Travel Together Came Up With A Genius Idea,546e46f584ad381bbe00006d,3051,84,0.02753195673549656,True,False
229,2014-11-20 19:55:42.82,201446,546e454a9ad54e2af0000070,A Couple That Loves To Travel Together Came Up With A Genius Idea,546e473b26714c0538000091,3056,82,0.026832460732984294,False,False
230,2014-11-20 19:55:57.867,201446,546e454a9ad54e2af0000070,A Couple That Loves To Travel Together Came Up With A Genius Idea,546e47489ad54e1f7700005f,3014,79,0.026211015262110154,False,False
264,2014-11-20 21:33:01.644,201446,546e5e0d9ad54eca48000061,Here's What Every School Should Put Right Next To The Swing Set,546ab4ea007368d4ff00000d,2988,28,0.009370816599732263,True,False
266,2014-11-20 21:36:06.291,201446,546e5e0d9ad54eca48000061,A Bunch Of Schools In Oregon Tried An Experiment. And The Results? Just Wow.,546ab4da0073687d49000006,3036,28,0.00922266139657444,False,False
273,2014-11-20 21:44:28.646,201446,546e5e0d9ad54eca48000061,I Wish My 2nd Grade Class Had Been Like This. These Kids Are The Luckiest Ever.,546ab4da0073687d49000006,3048,24,0.007874015748031496,False,False
277,2014-11-20 21:47:17.123,201446,546e5e0d9ad54eca48000061,"A Bunch Of Schools In Oregon Are Phasing Out 'Gross Meat Surprise' For Lunch, And Phasing Them In",546ab4da0073687d49000006,3145,10,0.003179650238473768,False,False
278,2014-11-20 21:48:44.791,201446,546e5e0d9ad54eca48000061,A Bunch Of Schools In Oregon Are Trying A Big Experiment. Spoiler Alert: Everyone Loves It.,546ab4da0073687d49000006,3033,24,0.00791295746785361,False,False
299,2014-11-21 00:36:54.967,201446,546e884b0f6b59d292000001,This Stunning NASA Video Gave Me A Whole New Way To Think About What Happens In That Sky Up There,546dedbf9ad54e2af0000032,3078,34,0.011046133853151396,False,False
307,2014-11-21 00:33:15.96,201446,546e884b0f6b59d292000001,Nothing Prepared Me For This Mind-Bending NASA Video About What Went On Across The Earth During 2006,546dedbf9ad54e2af0000032,3016,49,0.016246684350132625,False,False
308,2014-11-21 00:34:08.338,201446,546e884b0f6b59d292000001,Nothing Prepared Me For This Mind-Bending NASA Video About What Happened In The Atmosphere In 2006,546dedbf9ad54e2af0000032,3059,53,0.017325923504413206,True,False
310,2014-11-21 00:36:31.449,201446,546e884b0f6b59d292000001,You Think You Know What Happens In The Atmosphere. This Mind-Bending NASA Video Says ‘Maybe Not.’,546dedbf9ad54e2af0000032,3036,23,0.007575757575757576,False,False
311,2014-11-21 00:37:13.072,201446,546e884b0f6b59d292000001,Mind Bent. This NASA Video About What Happened In The Atmosphere In 2006 Is What Did It.,546dedbf9ad54e2af0000032,3050,35,0.011475409836065573,False,False
335,2014-11-21 02:07:59.735,201446,546e9e7f87942a5546000003,She Took Personal Photos She Found In An Awful Tragedy And Put Them All Over Facebook. Well Done.,546e996087942a0fc2000007,3078,101,0.03281351526965562,True,False
336,2014-11-21 02:08:43.099,201446,546e9e7f87942a5546000003,She Found Other People's Personal Photos In An Awful Tragedy. Then She Put Them All Over Facebook.,546e996087942a0fc2000007,3039,69,0.022704837117472853,False,False
337,2014-11-21 02:09:30.177,201446,546e9e7f87942a5546000003,A Touching Story About Taking Other People's Personal Photos And Posting Them On Facebook,546e996087942a0fc2000007,3066,45,0.014677103718199608,False,False
399,2014-11-21 05:25:21.848,201446,546eccc187942aedcb000013,"Colbert Asked Eva Longoria If She Produced A Tomato, But What She Really Produced Is So Much Better",546e302d26714cd2dd00005b,3035,34,0.011202635914332784,False,False
400,2014-11-21 05:25:53.553,201446,546eccc187942aedcb000013,Eva Longoria Got A Full Audience Of People To Laugh And Applaud A Tomato,546e302d26714cd2dd00005b,2981,26,0.00872190540087219,False,False
401,2014-11-21 05:26:19.444,201446,546eccc187942aedcb000013,"Eva Longoria Got A Full Audience Of People To Laugh, Applaud And Boo Over Tomatoes",546e302d26714cd2dd00005b,3024,21,0.006944444444444444,False,False
402,2014-11-21 05:27:02.433,201446,546eccc187942aedcb000013,"If You're Planning On Eating A BLT That's Heavy On The T, You Might Want To Watch This First",546e302d26714cd2dd00005b,3095,62,0.020032310177705976,True,False
403,2014-11-21 05:27:35.315,201446,546eccc187942aedcb000013,A Famous Actress Visits A Talk Show To Plug A Movie She's Not Even In,546e302d26714cd2dd00005b,3038,36,0.01184990125082291,False,False
