package_id,created_at,test_week,clickability_test_id,headline,eyecatcher_id,impressions,clicks,ctr,ctr_demeaned,first_place,winner
11,2014-11-20 11:33:26.475,201446,546dd17e26714c82cc00001c,"Let’s See … Hire Cops, Pay Teachers, Buy Books For Schools. Or Kill People. Hard Choice, Right?",546dce659ad54ec65b000041,3118,8,0.0025657472738935213,-1.342476568777255,False,False
12,2014-11-20 15:00:01.032,201446,546e01d626714c6c4400004e,People Sent This Lesbian Questions And Her Raised Eyebrow Game Shames Us All,546d1b4bfd3617f091000041,4587,130,0.028340963592762156,-0.5977791190518651,False,False
13,2014-11-20 11:33:51.973,201446,546dd17e26714c82cc00001c,$3 Million Is What It Takes For A State To Legally Kill Someone,546dce659ad54ec65b000041,3017,19,0.006297646668876367,0.26524800451364067,False,False
14,2014-11-20 11:34:12.107,201446,546dd17e26714c82cc00001c,The Fact That Sometimes Innocent People Are Executed Is Enough To End The Death Penalty. But This?,546dce659ad54ec65b000041,2974,26,0.008742434431741762,1.3184771907354838,True,False
15,2014-11-20 11:34:33.935,201446,546dd17e26714c82cc00001c,Reason #351 To End The Death Penalty: It Costs $3 Million Per Case.,546dce659ad54ec65b000041,3050,10,0.003278688524590164,-1.035337215128359,False,False
16,2014-11-20 11:34:48.474,201446,546dd17e26714c82cc00001c,"I Was Already Against The Death Penalty, But Now That I See What It Costs Us All? Ahem.",546dce659ad54ec65b000041,3061,20,0.006533812479581836,0.36698964785826077,False,False
17,2014-11-20 11:36:09.896,201446,546dd17e26714c82cc00001c,I'll Say It: It's Not OK For States To Legally Murder People.,546dce659ad54ec65b000041,2997,20,0.00667334000667334,0.427098940798231,False,False
22,2014-11-20 15:48:53.77,201446,546e0d339ad54e667a00005a,You Guys. Solar-Powered Boat Schools. Repeat. Solar. Powered. Boat. Schools. What?,546a84cc5b606a1fa0000022,4596,14,0.0030461270670147957,-1.0457131929441714,False,False
35,2014-11-20 15:49:14.3,201446,546e0d339ad54e667a00005a,"They're Asking For $12,000. If I Give It To Them, Can I Have Their Life?",546a84cc5b606a1fa0000022,4556,27,0.005926251097453907,-0.14024600479139698,False,False
52,2014-11-20 13:35:08.065,201446,546dee0c26714c0538000056,At First Glance It Just Looks Like A Bus. But Inside? It's So Much Bigger.,5465291f744884eb36000042,4574,57,0.012461740271097508,0.011636036992932952,False,False
